session_id,worker_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Fluent languages,Nationality,Sex,Student Status
5f36af0a0f66960ab9c5e508,5f1426a5e2e09745d203025b,APPROVED,2020-08-14 15:34:34.885000,2020-08-14 15:52:27.503000,1072.618,19.0,50,0,100,2020-08-20 06:07:05.005000,4EDDAF87,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,"French, English",United Kingdom,Female,Yes
5f36b0129ee14b0b626a50f6,5f293da15518a403737b98a8,APPROVED,2020-08-14 15:39:05.372000,2020-08-14 15:52:14.705000,789.3330000000003,66.0,22,1,95,2020-08-20 06:07:25.551000,4EDDAF87,United Kingdom,United Kingdom,Other,English,,English,United Kingdom,Male,No
5f36deed71483f11d388528c,5f3474b301a19638bae03129,APPROVED,2020-08-14 18:58:53.270000,2020-08-14 19:17:51.796000,1138.526,18.0,19,0,100,2020-08-20 06:08:26.043000,4EDDAF87,United States,United States,Unemployed (and job seeking),,English,"English, Vietnamese",Vietnam,Male,Yes
5f36b064711ffb0af8645bf4,57406658d700ea000ef44aee,APPROVED,2020-08-14 15:40:42.265000,2020-08-14 15:50:58.406000,616.141,39.0,89,4,96,2020-08-20 06:07:34.050000,4EDDAF87,United Kingdom,United States,Full-Time,English,,English,United Kingdom,Female,No
5f36bdbc01818c0c5e39984e,59d3c7b4b5367100017112d1,APPROVED,2020-08-14 16:37:16.934000,2020-08-14 16:45:33.006000,496.072,43.0,181,2,100,2020-08-20 06:08:01.335000,4EDDAF87,United Kingdom,United Kingdom,Other,English,,English,United Kingdom,Male,No
5f36def2c7e3b6119cdac2e9,5cd2e5dc3c43570018b98f0a,APPROVED,2020-08-14 19:04:34.409000,2020-08-14 19:13:45.300000,550.891,32.0,537,3,100,2020-08-20 06:08:33.013000,4EDDAF87,South Africa,United Kingdom,Full-Time,English,English,English,United Kingdom,Male,No
5f36ada38aad7309fdae1a6e,5ce13fc1c266e3001a8f7771,APPROVED,2020-08-14 15:28:39.683000,2020-08-14 15:48:01.485000,1161.802,22.0,61,0,100,2020-08-20 06:06:55.681000,4EDDAF87,Philippines,United States,Unemployed (and job seeking),English,English,English,United States,Male,Yes
5f36bdb6dc97f20d45a558c6,5d3983cb8580230018bbf15f,APPROVED,2020-08-14 16:37:10.784000,2020-08-14 16:43:22.242000,371.458,24.0,290,3,99,2020-08-20 06:07:51.851000,4EDDAF87,United Kingdom,United Kingdom,Part-Time,English,English,English,United Kingdom,Female,No
5f36aff2f707260b38d872cf,5ea00c9769e0250009a479df,APPROVED,2020-08-14 15:38:31.914000,2020-08-14 15:49:57.220000,685.306,77.0,59,0,100,2020-08-20 06:07:23.976000,4EDDAF87,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,,English,United Kingdom,Female,No
5f36af02f09c9f0a9dbcba0f,5eb8885c1a17bb7e3b38a6a3,APPROVED,2020-08-14 15:34:46.237000,2020-08-14 15:53:12.911000,1106.674,50.0,33,0,100,2020-08-20 06:07:03.622000,4EDDAF87,Ireland,Ireland,Part-Time,English,,English,Ireland,Female,No
